,pointID,Geographic Area Name,Population,cdtaname,boroname_left,cdta2020,geoid,Demand,lon,lat,coordinates,OSMID,OSM_lon,OSM_lat,geometry
70,69,"Block 2000, Block Group 2, Census Tract 9, Kings County, New York",826,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009002000,18,-73.99136955333232,40.6907157671786,"(40.6907157671786,-73.99136955333232)",42497593,-73.9917431,40.6909891,POINT (-73.99174309999999 40.6909891)
71,70,"Block 2001, Block Group 2, Census Tract 9, Kings County, New York",220,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009002001,5,-73.9928935538997,40.690944948961224,"(40.690944948961224,-73.9928935538997)",42502651,-73.9937273,40.6915191,POINT (-73.9937273 40.6915191)
72,71,"Block 2002, Block Group 2, Census Tract 9, Kings County, New York",289,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009002002,7,-73.99320669171928,40.690292465303806,"(40.690292465303806,-73.99320669171928)",42502653,-73.9940379,40.6908952,POINT (-73.9940379 40.6908952)
73,72,"Block 2002, Block Group 2, Census Tract 9, Kings County, New York",289,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470009002002,7,-73.99320669171928,40.690292465303806,"(40.690292465303806,-73.99320669171928)",42502653,-73.9940379,40.6908952,POINT (-73.9940379 40.6908952)
74,73,"Block 2003, Block Group 2, Census Tract 9, Kings County, New York",764,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009002003,17,-73.99127493917362,40.68974449558652,"(40.68974449558652,-73.99127493917362)",42497780,-73.9906813,40.68914,POINT (-73.99068130000001 40.68914)
75,74,"Block 2003, Block Group 2, Census Tract 9, Kings County, New York",764,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),Brooklyn,BK06,360470009002003,17,-73.99127493917362,40.68974449558652,"(40.68974449558652,-73.99127493917362)",42497780,-73.9906813,40.68914,POINT (-73.99068130000001 40.68914)
76,75,"Block 2004, Block Group 2, Census Tract 9, Kings County, New York",25,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470009002004,1,-73.99059157377968,40.69006944955511,"(40.69006944955511,-73.99059157377968)",42515829,-73.9902391,40.6897585,POINT (-73.9902391 40.6897585)
77,76,"Block 1000, Block Group 1, Census Tract 11, Kings County, New York",26,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001000,1,-73.98619898495787,40.69403375378503,"(40.69403375378503,-73.98619898495787)",3536386693,-73.9862175,40.6932538,POINT (-73.9862175 40.6932538)
78,77,"Block 1003, Block Group 1, Census Tract 11, Kings County, New York",15,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001003,1,-73.98975058454366,40.69355598187306,"(40.69355598187306,-73.98975058454366)",42485646,-73.9904195,40.6937345,POINT (-73.9904195 40.6937345)
79,78,"Block 1006, Block Group 1, Census Tract 11, Kings County, New York",59,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001006,2,-73.98680799036936,40.691826231285646,"(40.691826231285646,-73.98680799036936)",42464827,-73.9873387,40.6914546,POINT (-73.9873387 40.6914546)
80,79,"Block 1007, Block Group 1, Census Tract 11, Kings County, New York",34,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001007,1,-73.98676596951717,40.69259828607851,"(40.69259828607851,-73.98676596951717)",4735727610,-73.9872962,40.6922318,POINT (-73.9872962 40.6922318)
81,80,"Block 1010, Block Group 1, Census Tract 11, Kings County, New York",681,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001010,15,-73.98575646694954,40.69256032774361,"(40.69256032774361,-73.98575646694954)",42494920,-73.9852776,40.6921587,POINT (-73.9852776 40.6921587)
82,81,"Block 1011, Block Group 1, Census Tract 11, Kings County, New York",757,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),Brooklyn,BK02,360470011001011,17,-73.98580678952803,40.69160410386823,"(40.69160410386823,-73.98580678952803)",42494920,-73.9852776,40.6921587,POINT (-73.9852776 40.6921587)
